"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19442","Verifying error massage when login with invalid password","Surefire suite","Wed Jan 08 11:23:54 GMT 2025","passed","Wed Jan 08 11:24:13 GMT 2025","tests.SingInTests","Surefire test","tests.SingInTests","checkErrorMassageLoginWithInvalidData"
"","5325","Verifying login with valid data","Surefire suite","Wed Jan 08 11:24:14 GMT 2025","passed","Wed Jan 08 11:24:20 GMT 2025","tests.SingInTests","Surefire test","tests.SingInTests","checkLoginWithValidData"
"","8565","Verifying account creation","Surefire suite","Wed Jan 08 11:24:20 GMT 2025","passed","Wed Jan 08 11:24:29 GMT 2025","tests.CreateAccountsTests","Surefire test","tests.CreateAccountsTests","checkCreateAccount"
