"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking the price of the added product","9319","Checking the price of the added product","PrestashopZhdanova SmokeTest","Wed Jan 15 06:19:18 GMT 2025","passed","Wed Jan 15 06:19:28 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkPriceAddedProduct"
"Checking the account creation","22729","Checking the account creation","PrestashopZhdanova SmokeTest","Wed Jan 15 06:18:29 GMT 2025","passed","Wed Jan 15 06:18:52 GMT 2025","tests.CreateAccountTest","Thread#1","tests.CreateAccountTest","checkCreateAccount"
"Checking the added product in the cart","9888","Checking the added product in the cart","PrestashopZhdanova SmokeTest","Wed Jan 15 06:18:53 GMT 2025","passed","Wed Jan 15 06:19:02 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkAddedProductToCart"
"Checking the logout from the account","7948","Checking the logout from the account","PrestashopZhdanova SmokeTest","Wed Jan 15 06:18:57 GMT 2025","passed","Wed Jan 15 06:19:05 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLogoutFromAccount"
"Checking the count of products in the cart","14270","Checking the count of products in the cart","PrestashopZhdanova SmokeTest","Wed Jan 15 06:19:03 GMT 2025","passed","Wed Jan 15 06:19:17 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkCountOfProducts"
"Checking error message when login with wrong password","19616","Checking error message when login with wrong password","PrestashopZhdanova SmokeTest","Wed Jan 15 06:18:29 GMT 2025","passed","Wed Jan 15 06:18:49 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
"Checking the login with credentials","6369","Checking the login with credentials","PrestashopZhdanova SmokeTest","Wed Jan 15 06:18:50 GMT 2025","passed","Wed Jan 15 06:18:56 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLoginWithValidData"
