"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking the account creation","11962","Checking the account creation","Surefire suite","Tue Jan 14 13:35:24 GMT 2025","passed","Tue Jan 14 13:35:36 GMT 2025","tests.CreateAccountTest","Surefire test","tests.CreateAccountTest","checkCreateAccount"
"Checking the logout from the account","9725","Checking the logout from the account","Surefire suite","Tue Jan 14 13:35:14 GMT 2025","passed","Tue Jan 14 13:35:24 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkLogoutFromAccount"
"Checking the price of the added product","12029","Checking the price of the added product","Surefire suite","Tue Jan 14 13:36:07 GMT 2025","passed","Tue Jan 14 13:36:19 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkPriceAddedProduct"
"Checking the login with credentials","7562","Checking the login with credentials","Surefire suite","Tue Jan 14 13:35:05 GMT 2025","passed","Tue Jan 14 13:35:13 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkLoginWithValidData"
"Checking the added product in the cart","12419","Checking the added product in the cart","Surefire suite","Tue Jan 14 13:35:37 GMT 2025","passed","Tue Jan 14 13:35:49 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkAddedProductToCart"
"Checking the count of products in the cart","15826","Checking the count of products in the cart","Surefire suite","Tue Jan 14 13:35:50 GMT 2025","passed","Tue Jan 14 13:36:06 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkCountOfProducts"
"Checking error message when login with wrong password","38640","Checking error message when login with wrong password","Surefire suite","Tue Jan 14 13:34:25 GMT 2025","passed","Tue Jan 14 13:35:04 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
