"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking the logout from the account","10905","Checking the logout from the account","PrestashopZhdanova SmokeTest","Wed Jan 15 05:57:42 GMT 2025","failed","Wed Jan 15 05:57:53 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLogoutFromAccount"
"Checking the added product in the cart","10445","Checking the added product in the cart","PrestashopZhdanova SmokeTest","Wed Jan 15 05:56:48 GMT 2025","passed","Wed Jan 15 05:56:59 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkAddedProductToCart"
"Checking error message when login with wrong password","8906","Checking error message when login with wrong password","PrestashopZhdanova SmokeTest","Wed Jan 15 05:56:35 GMT 2025","passed","Wed Jan 15 05:56:44 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
"Checking the login with credentials","11035","Checking the login with credentials","PrestashopZhdanova SmokeTest","Wed Jan 15 05:57:09 GMT 2025","failed","Wed Jan 15 05:57:20 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLoginWithValidData"
"Checking the price of the added product","9521","Checking the price of the added product","PrestashopZhdanova SmokeTest","Wed Jan 15 05:57:14 GMT 2025","passed","Wed Jan 15 05:57:24 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkPriceAddedProduct"
"Checking the account creation","12328","Checking the account creation","PrestashopZhdanova SmokeTest","Wed Jan 15 05:56:35 GMT 2025","passed","Wed Jan 15 05:56:48 GMT 2025","tests.CreateAccountTest","Thread#1","tests.CreateAccountTest","checkCreateAccount"
"Checking the count of products in the cart","14132","Checking the count of products in the cart","PrestashopZhdanova SmokeTest","Wed Jan 15 05:57:00 GMT 2025","passed","Wed Jan 15 05:57:14 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkCountOfProducts"
