"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking error message when login with wrong password","20872","Checking error message when login with wrong password","PrestashopZhdanova SmokeTest","Wed Jan 15 08:25:26 GMT 2025","passed","Wed Jan 15 08:25:47 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
"Checking the price of the added product","8252","Checking the price of the added product","PrestashopZhdanova SmokeTest","Wed Jan 15 08:26:26 GMT 2025","passed","Wed Jan 15 08:26:34 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkPriceAddedProduct"
"Checking the login with credentials","5702","Checking the login with credentials","PrestashopZhdanova SmokeTest","Wed Jan 15 08:25:48 GMT 2025","passed","Wed Jan 15 08:25:54 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLoginWithValidData"
"Checking the added product in the cart","9158","Checking the added product in the cart","PrestashopZhdanova SmokeTest","Wed Jan 15 08:25:51 GMT 2025","passed","Wed Jan 15 08:26:00 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkAddedProductToCart"
"Checking the logout from the account","7179","Checking the logout from the account","PrestashopZhdanova SmokeTest","Wed Jan 15 08:25:55 GMT 2025","passed","Wed Jan 15 08:26:02 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLogoutFromAccount"
"Checking that the product deleted from the cart","10334","Checking that the product deleted from the cart","PrestashopZhdanova SmokeTest","Wed Jan 15 08:26:15 GMT 2025","passed","Wed Jan 15 08:26:25 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkDeletedProduct"
"Checking the account creation","23946","Checking the account creation","PrestashopZhdanova SmokeTest","Wed Jan 15 08:25:26 GMT 2025","passed","Wed Jan 15 08:25:50 GMT 2025","tests.CreateAccountTest","Thread#1","tests.CreateAccountTest","checkCreateAccount"
"Checking the deleted product from cart","13529","Checking the deleted product from cart","PrestashopZhdanova SmokeTest","Wed Jan 15 08:26:01 GMT 2025","passed","Wed Jan 15 08:26:14 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkCountOfProducts"
