"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking the added product in the cart","10605","Checking the added product in the cart","PrestashopZhdanova SmokeTest","Wed Jan 22 07:41:34 GMT 2025","passed","Wed Jan 22 07:41:45 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkAddedProductToCart"
"Checking the account creation","22891","Checking the account creation","PrestashopZhdanova SmokeTest","Wed Jan 22 07:41:10 GMT 2025","passed","Wed Jan 22 07:41:33 GMT 2025","tests.CreateAccountTest","Thread#1","tests.CreateAccountTest","checkCreateAccount"
"Checking that the product deleted from the cart","11401","Checking that the product deleted from the cart","PrestashopZhdanova SmokeTest","Wed Jan 22 07:42:01 GMT 2025","passed","Wed Jan 22 07:42:12 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkDeletedProduct"
"Checking error message when login with wrong password","19497","Checking error message when login with wrong password","PrestashopZhdanova SmokeTest","Wed Jan 22 07:41:10 GMT 2025","passed","Wed Jan 22 07:41:30 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
"Checking the logout from the account","7846","Checking the logout from the account","PrestashopZhdanova SmokeTest","Wed Jan 22 07:41:38 GMT 2025","passed","Wed Jan 22 07:41:46 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLogoutFromAccount"
"Checking the price of the added product","9613","Checking the price of the added product","PrestashopZhdanova SmokeTest","Wed Jan 22 07:42:13 GMT 2025","passed","Wed Jan 22 07:42:22 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkPriceAddedProduct"
"Checking the deleted product from cart","14522","Checking the deleted product from cart","PrestashopZhdanova SmokeTest","Wed Jan 22 07:41:45 GMT 2025","passed","Wed Jan 22 07:42:00 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkCountOfProducts"
"Checking the login with credentials","6187","Checking the login with credentials","PrestashopZhdanova SmokeTest","Wed Jan 22 07:41:31 GMT 2025","passed","Wed Jan 22 07:41:37 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLoginWithValidData"
