"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking that the product deleted from the cart","11200","Checking that the product deleted from the cart","PrestashopZhdanova SmokeTest","Thu Jan 23 18:29:04 GMT 2025","passed","Thu Jan 23 18:29:15 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkDeletedProduct"
"Checking the deleted product from cart","14180","Checking the deleted product from cart","PrestashopZhdanova SmokeTest","Thu Jan 23 18:28:49 GMT 2025","passed","Thu Jan 23 18:29:03 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkCountOfProducts"
"Checking the login with credentials","5899","Checking the login with credentials","PrestashopZhdanova SmokeTest","Thu Jan 23 18:28:35 GMT 2025","passed","Thu Jan 23 18:28:41 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLoginWithValidData"
"Checking the price of the added product","9483","Checking the price of the added product","PrestashopZhdanova SmokeTest","Thu Jan 23 18:29:16 GMT 2025","passed","Thu Jan 23 18:29:25 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkPriceAddedProduct"
"Checking the logout from the account","7835","Checking the logout from the account","PrestashopZhdanova SmokeTest","Thu Jan 23 18:28:41 GMT 2025","passed","Thu Jan 23 18:28:49 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLogoutFromAccount"
"Checking the added product in the cart","9925","Checking the added product in the cart","PrestashopZhdanova SmokeTest","Thu Jan 23 18:28:38 GMT 2025","passed","Thu Jan 23 18:28:48 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkAddedProductToCart"
"Checking error message when login with wrong password","16093","Checking error message when login with wrong password","PrestashopZhdanova SmokeTest","Thu Jan 23 18:28:17 GMT 2025","passed","Thu Jan 23 18:28:34 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
"Checking the account creation","19617","Checking the account creation","PrestashopZhdanova SmokeTest","Thu Jan 23 18:28:17 GMT 2025","passed","Thu Jan 23 18:28:37 GMT 2025","tests.CreateAccountTest","Thread#1","tests.CreateAccountTest","checkCreateAccount"
