"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2537","Verifying account creation","Surefire suite","Thu Jan 09 08:44:14 GMT 2025","broken","Thu Jan 09 08:44:17 GMT 2025","tests.CreateAccountsTests","Surefire test","tests.CreateAccountsTests","checkCreateAccount"
"","771","Verifying login with valid data","Surefire suite","Thu Jan 09 08:44:17 GMT 2025","broken","Thu Jan 09 08:44:18 GMT 2025","tests.SignInTests","Surefire test","tests.SignInTests","checkLoginWithValidData"
"","752","Verifying logout from account","Surefire suite","Thu Jan 09 08:44:18 GMT 2025","broken","Thu Jan 09 08:44:19 GMT 2025","tests.SignInTests","Surefire test","tests.SignInTests","checkLogoutFromAccount"
"","770","Verifying error message when login with wrong password","Surefire suite","Thu Jan 09 08:44:17 GMT 2025","broken","Thu Jan 09 08:44:17 GMT 2025","tests.SignInTests","Surefire test","tests.SignInTests","checkErrorMessageLoginWithInvalidData"
