"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5994","Verifying login with valid data","Surefire suite","Wed Jan 08 13:47:15 GMT 2025","passed","Wed Jan 08 13:47:21 GMT 2025","tests.SingInTests","Surefire test","tests.SingInTests","checkLoginWithValidData"
"","22010","Verifying error massage when login with wrong password","Surefire suite","Wed Jan 08 13:46:52 GMT 2025","passed","Wed Jan 08 13:47:14 GMT 2025","tests.SingInTests","Surefire test","tests.SingInTests","checkErrorMassageLoginWithInvalidData"
"","5916","Verifying logout from account","Surefire suite","Wed Jan 08 13:47:22 GMT 2025","passed","Wed Jan 08 13:47:28 GMT 2025","tests.SingInTests","Surefire test","tests.SingInTests","checkLogoutFromAccount"
"","9346","Verifying account creation","Surefire suite","Wed Jan 08 13:47:28 GMT 2025","passed","Wed Jan 08 13:47:38 GMT 2025","tests.CreateAccountsTests","Surefire test","tests.CreateAccountsTests","checkCreateAccount"
