"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking the price of added product","8442","Checking the price of added product","Surefire suite","Fri Jan 10 14:05:29 GMT 2025","passed","Fri Jan 10 14:05:38 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkPriceAddedProduct"
"Checking login with valid data","5432","Checking login with valid data","Surefire suite","Fri Jan 10 14:04:43 GMT 2025","passed","Fri Jan 10 14:04:48 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkLoginWithValidData"
"Checking added product to cart","8587","Checking added product to cart","Surefire suite","Fri Jan 10 14:05:06 GMT 2025","passed","Fri Jan 10 14:05:15 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkAddedProductToCart"
"Checking count of products into cart","13215","Checking count of products into cart","Surefire suite","Fri Jan 10 14:05:15 GMT 2025","passed","Fri Jan 10 14:05:29 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkCountOfProducts"
"Checking logout from account","7002","Checking logout from account","Surefire suite","Fri Jan 10 14:04:49 GMT 2025","passed","Fri Jan 10 14:04:56 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkLogoutFromAccount"
"Checking account creation","8938","Checking account creation","Surefire suite","Fri Jan 10 14:04:57 GMT 2025","passed","Fri Jan 10 14:05:06 GMT 2025","tests.CreateAccountTest","Surefire test","tests.CreateAccountTest","checkCreateAccount"
"Checking error message when login with wrong password","16841","Checking error message when login with wrong password","Surefire suite","Fri Jan 10 14:04:25 GMT 2025","passed","Fri Jan 10 14:04:42 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
