"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking error message when login with wrong password","24915","Checking error message when login with wrong password","Surefire suite","Tue Jan 14 09:03:28 GMT 2025","passed","Tue Jan 14 09:03:53 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
"Checking the account creation","8411","Checking the account creation","Surefire suite","Tue Jan 14 09:04:08 GMT 2025","passed","Tue Jan 14 09:04:16 GMT 2025","tests.CreateAccountTest","Surefire test","tests.CreateAccountTest","checkCreateAccount"
"Checking the added product in the cart","9016","Checking the added product in the cart","Surefire suite","Tue Jan 14 09:04:17 GMT 2025","passed","Tue Jan 14 09:04:26 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkAddedProductToCart"
"Checking the logout from the account","6877","Checking the logout from the account","Surefire suite","Tue Jan 14 09:04:00 GMT 2025","passed","Tue Jan 14 09:04:07 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkLogoutFromAccount"
"Checking the login with credentials","5367","Checking the login with credentials","Surefire suite","Tue Jan 14 09:03:54 GMT 2025","passed","Tue Jan 14 09:03:59 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkLoginWithValidData"
"Checking the price of the added product","8559","Checking the price of the added product","Surefire suite","Tue Jan 14 09:04:41 GMT 2025","passed","Tue Jan 14 09:04:49 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkPriceAddedProduct"
"Checking the count of products in the cart","13498","Checking the count of products in the cart","Surefire suite","Tue Jan 14 09:04:27 GMT 2025","passed","Tue Jan 14 09:04:40 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkCountOfProducts"
