"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5249","Verifying login with valid data","Surefire suite","Wed Jan 08 11:16:29 GMT 2025","passed","Wed Jan 08 11:16:34 GMT 2025","tests.SingInTests","Surefire test","tests.SingInTests","checkLoginWithValidData"
"","28448","Verifying error massage when login with invalid password","Surefire suite","Wed Jan 08 11:15:59 GMT 2025","passed","Wed Jan 08 11:16:27 GMT 2025","tests.SingInTests","Surefire test","tests.SingInTests","checkErrorMassageLoginWithInvalidData"
"","8589","Verifying account creation","Surefire suite","Wed Jan 08 11:16:34 GMT 2025","passed","Wed Jan 08 11:16:43 GMT 2025","tests.CreateAccountsTests","Surefire test","tests.CreateAccountsTests","checkCreateAccount"
