"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking the account creation","23723","Checking the account creation","PrestashopZhdanova SmokeTest","Wed Jan 15 09:29:43 GMT 2025","passed","Wed Jan 15 09:30:07 GMT 2025","tests.CreateAccountTest","Thread#1","tests.CreateAccountTest","checkCreateAccount"
"Checking the deleted product from cart","14229","Checking the deleted product from cart","PrestashopZhdanova SmokeTest","Wed Jan 15 09:30:19 GMT 2025","passed","Wed Jan 15 09:30:33 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkCountOfProducts"
"Checking the price of the added product","9448","Checking the price of the added product","PrestashopZhdanova SmokeTest","Wed Jan 15 09:30:46 GMT 2025","passed","Wed Jan 15 09:30:56 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkPriceAddedProduct"
"Checking the logout from the account","8461","Checking the logout from the account","PrestashopZhdanova SmokeTest","Wed Jan 15 09:30:12 GMT 2025","passed","Wed Jan 15 09:30:21 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLogoutFromAccount"
"Checking that the product deleted from the cart","11496","Checking that the product deleted from the cart","PrestashopZhdanova SmokeTest","Wed Jan 15 09:30:34 GMT 2025","passed","Wed Jan 15 09:30:46 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkDeletedProduct"
"Checking the added product in the cart","10667","Checking the added product in the cart","PrestashopZhdanova SmokeTest","Wed Jan 15 09:30:08 GMT 2025","passed","Wed Jan 15 09:30:18 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkAddedProductToCart"
"Checking the login with credentials","6224","Checking the login with credentials","PrestashopZhdanova SmokeTest","Wed Jan 15 09:30:05 GMT 2025","passed","Wed Jan 15 09:30:11 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLoginWithValidData"
"Checking error message when login with wrong password","20622","Checking error message when login with wrong password","PrestashopZhdanova SmokeTest","Wed Jan 15 09:29:43 GMT 2025","passed","Wed Jan 15 09:30:04 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
