"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking that the product deleted from the cart","10217","Checking that the product deleted from the cart","PrestashopZhdanova SmokeTest","Mon Jan 20 06:28:38 GMT 2025","passed","Mon Jan 20 06:28:48 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkDeletedProduct"
"Checking the price of the added product","8506","Checking the price of the added product","PrestashopZhdanova SmokeTest","Mon Jan 20 06:28:49 GMT 2025","passed","Mon Jan 20 06:28:57 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkPriceAddedProduct"
"Checking the added product in the cart","9433","Checking the added product in the cart","PrestashopZhdanova SmokeTest","Mon Jan 20 06:28:13 GMT 2025","passed","Mon Jan 20 06:28:23 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkAddedProductToCart"
"Checking the account creation","22032","Checking the account creation","PrestashopZhdanova SmokeTest","Mon Jan 20 06:27:50 GMT 2025","passed","Mon Jan 20 06:28:12 GMT 2025","tests.CreateAccountTest","Thread#1","tests.CreateAccountTest","checkCreateAccount"
"Checking the logout from the account","7134","Checking the logout from the account","PrestashopZhdanova SmokeTest","Mon Jan 20 06:28:17 GMT 2025","passed","Mon Jan 20 06:28:24 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLogoutFromAccount"
"Checking the login with credentials","5850","Checking the login with credentials","PrestashopZhdanova SmokeTest","Mon Jan 20 06:28:10 GMT 2025","passed","Mon Jan 20 06:28:16 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkLoginWithValidData"
"Checking the deleted product from cart","13637","Checking the deleted product from cart","PrestashopZhdanova SmokeTest","Mon Jan 20 06:28:23 GMT 2025","passed","Mon Jan 20 06:28:37 GMT 2025","tests.ProductTest","Thread#1","tests.ProductTest","checkCountOfProducts"
"Checking error message when login with wrong password","18800","Checking error message when login with wrong password","PrestashopZhdanova SmokeTest","Mon Jan 20 06:27:50 GMT 2025","passed","Mon Jan 20 06:28:09 GMT 2025","tests.SignInTest","Thread#2","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
