"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20802","Verifying account creation","Surefire suite","Thu Jan 09 17:48:36 GMT 2025","passed","Thu Jan 09 17:48:56 GMT 2025","tests.CreateAccountsTests","Surefire test","tests.CreateAccountsTests","checkCreateAccount"
"","6334","Verifying error message when login with wrong password","Surefire suite","Thu Jan 09 17:49:33 GMT 2025","passed","Thu Jan 09 17:49:40 GMT 2025","tests.SignInTests","Surefire test","tests.SignInTests","checkErrorMessageLoginWithInvalidData"
"","10867","Verifying the price of added product","Surefire suite","Thu Jan 09 17:49:22 GMT 2025","passed","Thu Jan 09 17:49:33 GMT 2025","tests.CartOfProductTests","Surefire test","tests.CartOfProductTests","checkPriceAddedProduct"
"","5605","Verifying login with valid data","Surefire suite","Thu Jan 09 17:49:40 GMT 2025","passed","Thu Jan 09 17:49:46 GMT 2025","tests.SignInTests","Surefire test","tests.SignInTests","checkLoginWithValidData"
"","11030","Verifying count product","Surefire suite","Thu Jan 09 17:49:10 GMT 2025","passed","Thu Jan 09 17:49:21 GMT 2025","tests.CartOfProductTests","Surefire test","tests.CartOfProductTests","checkCountOfProduct"
"","11492","Verifying added product to cart","Surefire suite","Thu Jan 09 17:48:57 GMT 2025","passed","Thu Jan 09 17:49:09 GMT 2025","tests.CartOfProductTests","Surefire test","tests.CartOfProductTests","checkAddedProductToCart"
"","5674","Verifying logout from account","Surefire suite","Thu Jan 09 17:49:47 GMT 2025","passed","Thu Jan 09 17:49:52 GMT 2025","tests.SignInTests","Surefire test","tests.SignInTests","checkLogoutFromAccount"
