"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking error message when login with wrong password","9223","Checking error message when login with wrong password","Surefire suite","Tue Jan 14 12:35:00 GMT 2025","passed","Tue Jan 14 12:35:09 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkErrorMessageLoginWithWrongPassword"
"Checking the price of the added product","11586","Checking the price of the added product","Surefire suite","Tue Jan 14 12:36:07 GMT 2025","passed","Tue Jan 14 12:36:18 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkPriceAddedProduct"
"Checking the count of products in the cart","15225","Checking the count of products in the cart","Surefire suite","Tue Jan 14 12:35:51 GMT 2025","passed","Tue Jan 14 12:36:06 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkCountOfProducts"
"Checking the logout from the account","8900","Checking the logout from the account","Surefire suite","Tue Jan 14 12:35:18 GMT 2025","passed","Tue Jan 14 12:35:27 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkLogoutFromAccount"
"Checking the login with credentials","6781","Checking the login with credentials","Surefire suite","Tue Jan 14 12:35:10 GMT 2025","passed","Tue Jan 14 12:35:17 GMT 2025","tests.SignInTest","Surefire test","tests.SignInTest","checkLoginWithValidData"
"Checking the added product in the cart","10987","Checking the added product in the cart","Surefire suite","Tue Jan 14 12:35:39 GMT 2025","passed","Tue Jan 14 12:35:50 GMT 2025","tests.ProductTest","Surefire test","tests.ProductTest","checkAddedProductToCart"
"Checking the account creation","10815","Checking the account creation","Surefire suite","Tue Jan 14 12:35:27 GMT 2025","passed","Tue Jan 14 12:35:38 GMT 2025","tests.CreateAccountTest","Surefire test","tests.CreateAccountTest","checkCreateAccount"
